,name,location,state,img_num
1,Tower of London,,london,145
2,Hyde Park,,london,159
3,The View from The Shard,"Joiner Street, London SE1 9QU England",london,137
4,The British Museum,"Great Russell Street, London WC1B 3DG England",london,135
5,Camden Market,"32 Camden Lock Place, London NW1 8AF England",london,126
6,Highgate Cemetery,"Swains Lane Highgate, London N6 6PJ England",london,120
7,London Eye,"Westminster Bridge Road Riverside Building, County Hall, London SE1 7PB England",london,158
8,Houses of Parliament,"Parliament Square, London SW1A 0AA England",london,238
9,Chelsea FC Stadium Tour & Museum,"Stamford Bridge Fulham Road Stamford Bridge Stadium, London SW6 1HS England",london,126
10,National Gallery,"Trafalgar Square, London WC2N 5DN England",london,263
11,Big Ben,"Parliament Sqaure Elizabeth Tower - Houses of Parliament, Westminster, London SW1A 0AA England",london,131
12,The London Bridge Experience,"The Rennie Vaults 1 Tooley Street The Rennie Vaults, London SE1 2PF England",london,123
13,Tower Bridge,"Tower Bridge Road, London SE1 2UP England",london,311
14,Covent Garden,"Covent Garden, London WC2E 9DD England",london,140
15,Wallace Collection,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",london,119
16,V&A  - Victoria and Albert Museum,"Cromwell Road, London SW7 2RL England",london,123
17,Sky Garden,"20 Fenchurch Street 1 Sky Garden Walk, London EC3M 8AF England",london,228
18,Madame Tussauds London,"Marylebone Road, London NW1 5LR England",london,144
19,Natural History Museum,"Cromwell Road South Kensington, London SW7 5BD England",london,138
20,Buckingham Palace,"Spur Road, London SW1A 1AA England",london,178
21,Regent's Park,"Chester Road Regent's Park, London NW1 4NR England",london,115
22,Churchill War Rooms,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",london,128
23,St. Paul's Cathedral,"St Paul's Churchyard, London EC4M 8AD England",london,133
24,Greenwich,,london,128
25,Westminster Abbey,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",london,195
26,Up at The O2,"The O2, London SE10 0DX England",london,116
27,Craven Cottage,"Craven Cottage Stevenage Road Fulham, London SW6 6HH England",london,135
28,Borough Market,"8 Southwark Street, London SE1 1TL England",london,161
29,St. James's Park,"Horse Guards Road The Storeyard, London SW1A 2BJ England",london,160
30,Kensington Gardens,"The Magazine Storeyard Magazine Gate, London W2 UH England",london,169
31,Royal Opera House,"Bow Street, London WC2E 9DD England",london,120
32,London Underground,,london,163
33,HMS Belfast,"The Queen's Walk, London SE1 2JH England",london,142
34,Tottenham Hotspur Stadium Tour,"Lilywhite House 782 High Road Tottenham Hotspur Stadium, London N17 0BX England",london,124
35,Frameless,"6 Marble Arch Place, London W1H 7AP England",london,111
36,Museum of Brands,"111-117 Lancaster Road Notting Hill, London W11 1QT England",london,150
37,Greenwich Park,"Greenwich Park, London SE10 8QY England",london,124
38,Westminster,,london,142
39,National Maritime Museum,"Park Row Greenwich Peninsula, London SE10 9NF England",london,129
40,Emirates Stadium Tour and Museum,"75 Drayton Park Emirates Stadium, London N5 1BU England",london,125
41,The Courtauld Gallery,"Somerset House Strand Somerset House, London WC2R 0RN England",london,100
42,Brick Lane Music Hall,"443 North Woolwich Road, London E16 2DA England",london,116
